Hour,Scaled Value
0,0.6989289858481413
1,0.6449844800203404
2,0.6241117548832164
3,0.6197127409620371
4,0.6232527704172021
5,0.6822232130090015
6,0.7898268384089412
7,0.8740473531542471
8,0.9209567633241597
9,0.9390752444389654
10,0.9569780937758827
11,0.9569790326600236
12,0.9511907797835912
13,0.945427466969169
14,0.9420136862529794
15,0.9380622148348702
16,0.9369049579062206
17,0.916750304590566
18,0.8867082573671133
19,0.8501556243934624
20,0.8056957050421517
21,0.7556484512506724
22,0.7297470132449871
23,0.7083999210521912
