Hour,std
0,0.01898378960923113
1,0.01742430641772009
2,0.015947566703847976
3,0.015698410021466318
4,0.017809856105137314
5,0.018495289884221333
6,0.021083110854371683
7,0.026901555247156882
8,0.032055216202742605
9,0.03437398785568465
10,0.03555812418196853
11,0.036525639224297364
12,0.03652594175456343
13,0.03636468027719292
14,0.0362449090165444
15,0.0347840279873445
16,0.03435634593440585
17,0.03380131880433917
18,0.03277281565376807
19,0.028996847427840606
20,0.025300970783864507
21,0.0223982305642066
22,0.021939977806831344
23,0.020791796562179197
